timestamp,zone_id,vehicle_count,average_speed,congestion_level,road_type,accident_count,is_event,temperature,humidity,rainfall,wind_speed,pressure,visibility,AQI,PM2_5,PM10,NO2,CO,SO2,O3,energy_consumption,peak_demand,hour,day,month,day_of_week,is_weekend,is_peak,vehicle_count_lag_1,vehicle_count_lag_24,vehicle_count_rolling_mean_24,vehicle_count_rolling_std_24
2024-01-01 00:00:00,Z1,3942.0,43.6,Low,Highway,0,0,22.9,72.5,0.0,15.2,1010.9,10.0,77.0,50.8,63.0,25.2,1.2,13.3,37.4,604.7,679.9,0,1,1,0,0,0,3942.0,3942.0,3942.0,243.9518395093589
2024-01-01 01:00:00,Z1,4287.0,45.0,Low,Highway,1,0,23.0,73.8,0.0,7.1,1012.8,10.0,83.4,55.0,81.1,24.7,1.42,9.2,29.7,638.1,749.6,1,1,1,0,0,0,3942.0,3942.0,4114.5,243.9518395093589
2024-01-01 02:00:00,Z1,3825.0,43.8,Low,Residential,0,0,25.1,81.1,0.53,9.0,1009.7,8.7,66.8,37.2,56.9,21.7,1.21,9.3,17.4,645.8,748.9,2,1,1,0,0,0,4287.0,3942.0,4018.0,240.1936718566915
2024-01-01 03:00:00,Z1,3749.0,44.7,Low,Highway,0,0,27.3,69.3,0.48,0.7,1010.2,8.9,75.1,40.4,65.9,19.2,1.28,7.4,36.8,680.7,821.3,3,1,1,0,0,0,3825.0,3942.0,3950.75,237.80716978257826
2024-01-01 04:00:00,Z1,3670.0,43.6,Low,Residential,0,0,25.3,69.5,0.0,16.9,1014.1,10.0,73.1,46.5,61.2,25.5,1.21,7.2,13.7,675.0,763.3,4,1,1,0,0,0,3749.0,3942.0,3894.6,241.20178274631388
2024-01-01 05:00:00,Z1,3786.0,44.4,Low,Residential,1,0,25.7,76.3,0.18,5.7,1017.0,10.0,83.7,52.3,79.7,24.8,1.38,14.7,31.0,664.8,705.0,5,1,1,0,0,0,3670.0,3942.0,3876.5,220.24599882858257
2024-01-01 06:00:00,Z1,4179.0,45.7,Low,Residential,0,0,28.5,65.1,0.03,11.3,1009.2,9.7,83.7,46.9,83.6,30.0,1.25,10.7,45.1,675.8,818.3,6,1,1,0,0,0,3786.0,3942.0,3919.714285714286,231.29181732587247
2024-01-01 07:00:00,Z1,6784.0,32.3,High,Commercial,0,0,27.2,69.1,0.47,9.6,1010.7,9.1,98.2,59.4,81.7,28.8,1.58,12.4,33.5,652.5,808.6,7,1,1,0,0,1,4179.0,3942.0,4277.75,1035.070149451579
2024-01-01 08:00:00,Z1,7313.0,31.6,High,Residential,0,0,24.9,69.2,0.0,9.6,1010.1,10.0,104.4,61.9,100.6,28.9,1.54,15.8,32.4,665.5,785.6,8,1,1,0,0,1,6784.0,3942.0,4615.0,1400.388160475516
2024-01-01 09:00:00,Z1,6672.0,34.1,High,Residential,0,0,25.8,54.8,0.0,13.2,1003.3,10.0,107.3,61.5,100.4,34.3,1.66,16.6,23.4,641.0,714.6,9,1,1,0,0,1,7313.0,3942.0,4820.7,1471.840121903342
2024-01-01 10:00:00,Z1,3643.0,46.3,Low,Residential,0,0,23.4,56.5,0.0,16.7,1013.6,10.0,79.8,46.7,78.0,21.0,1.47,14.7,26.9,626.9,704.8,10,1,1,0,0,0,6672.0,3942.0,4713.636363636364,1440.7535717621715
2024-01-01 11:00:00,Z1,4692.0,45.3,Medium,Residential,0,0,22.5,44.1,0.0,11.0,1016.7,9.2,79.2,46.3,71.8,24.7,1.35,12.2,24.0,653.8,740.0,11,1,1,0,0,0,3643.0,3942.0,4711.833333333333,1373.718830125883
2024-01-01 12:00:00,Z1,3495.0,46.5,Low,Residential,0,0,22.5,51.2,0.59,12.6,1017.1,8.7,67.9,40.2,74.0,16.6,1.39,8.9,21.1,621.8,742.6,12,1,1,0,0,0,4692.0,3942.0,4618.2307692307695,1357.8451773457184
2024-01-01 13:00:00,Z1,3996.0,46.8,Low,Residential,0,0,18.2,46.7,0.0,11.3,1009.5,9.5,75.4,50.5,73.7,23.7,1.29,13.1,33.1,626.7,686.8,13,1,1,0,0,0,3495.0,3942.0,4573.785714285715,1315.1320014807188
2024-01-01 14:00:00,Z1,4567.0,39.8,Medium,Residential,0,0,17.6,47.4,0.0,14.1,1008.0,10.0,83.4,44.9,68.4,24.5,1.18,10.8,33.7,604.0,686.4,14,1,1,0,0,0,3996.0,3942.0,4573.333333333333,1267.2941177770774
2024-01-01 15:00:00,Z1,3903.0,45.2,Low,Commercial,0,0,18.5,42.1,0.04,8.1,1013.1,10.0,80.0,48.1,71.2,25.7,1.24,9.5,29.0,673.9,748.6,15,1,1,0,0,0,4567.0,3942.0,4531.4375,1235.73848197478
2024-01-01 16:00:00,Z1,4036.0,42.5,Low,Highway,0,0,17.2,38.4,0.13,14.3,1016.3,9.8,74.2,40.6,73.7,23.2,1.12,11.7,27.4,622.1,673.5,16,1,1,0,0,0,3903.0,3942.0,4502.294117647059,1202.5172433642003
2024-01-01 17:00:00,Z1,6935.0,33.4,High,Highway,1,0,18.7,51.4,0.0,14.4,1013.6,9.9,106.5,70.1,87.5,32.1,1.48,11.7,43.0,639.6,691.8,17,1,1,0,0,1,4036.0,3942.0,4637.444444444444,1299.9104142083486
2024-01-01 18:00:00,Z1,7110.0,34.6,High,Highway,0,0,16.8,41.6,0.0,14.3,1014.2,10.0,101.4,62.6,87.9,30.7,1.52,14.1,30.5,821.3,942.0,18,1,1,0,0,1,6935.0,3942.0,4767.578947368421,1384.7945421529537
2024-01-01 19:00:00,Z1,6361.0,37.0,Medium,Residential,1,0,16.2,53.9,0.87,7.4,1017.6,8.4,106.1,60.3,94.4,36.5,1.55,12.1,28.6,817.8,973.1000000000001,19,1,1,0,0,1,7110.0,3942.0,4847.25,1394.1578810767528
2024-01-01 20:00:00,Z1,7761.0,33.4,High,Commercial,0,0,20.9,64.0,0.0,9.3,1010.0,9.7,94.3,54.6,87.3,26.3,1.49,13.2,38.8,822.8,926.4,20,1,1,0,0,1,6361.0,3942.0,4986.0,1500.25837774698
2024-01-01 21:00:00,Z1,3919.0,43.9,Low,Highway,0,0,19.0,64.2,0.14,11.0,1012.1,9.1,78.2,45.7,65.4,21.1,1.31,12.2,35.2,808.5,957.3,21,1,1,0,0,0,7761.0,3942.0,4937.5,1481.6696421845961
2024-01-01 22:00:00,Z1,3967.0,41.7,Low,Commercial,0,0,20.2,76.6,0.24,4.5,1019.5,8.5,77.3,49.9,65.5,23.1,1.31,10.4,14.4,633.7,710.8,22,1,1,0,0,0,3919.0,3942.0,4895.304347826087,1461.6796513470574
2024-01-01 23:00:00,Z1,6036.0,33.8,Medium,Commercial,0,1,19.0,75.2,0.0,16.4,1012.2,10.0,93.7,53.8,75.3,25.2,1.39,12.8,32.4,632.4,765.3,23,1,1,0,0,0,3967.0,3942.0,4942.833333333333,1448.3894103651724
2024-01-02 00:00:00,Z1,5164.0,32.9,Medium,Highway,0,1,21.5,69.4,0.81,10.0,1007.9,8.6,79.2,45.4,76.0,27.2,1.38,11.2,29.8,636.3,673.5,0,2,1,1,0,0,6036.0,3942.0,4993.75,1433.0745376409361
2024-01-02 01:00:00,Z1,5891.0,44.1,Medium,Commercial,0,1,23.5,74.4,0.23,11.1,1010.3,9.7,95.9,59.5,82.8,28.1,1.47,15.4,33.4,640.6,786.6,1,2,1,1,0,0,5164.0,4287.0,5060.583333333333,1436.0804421173225
2024-01-02 02:00:00,Z1,6254.0,38.9,Medium,Residential,0,1,22.5,74.7,0.0,7.7,1009.2,10.0,89.2,52.4,88.4,27.2,1.41,14.0,25.1,618.8,665.6,2,2,1,1,0,0,5891.0,3825.0,5161.791666666667,1430.7988640940257
2024-01-02 03:00:00,Z1,6609.0,35.0,High,Highway,2,1,25.7,66.7,0.04,4.7,1014.4,9.3,105.0,63.1,92.3,31.6,1.76,9.3,38.9,644.7,749.9,3,2,1,1,0,0,6254.0,3749.0,5280.958333333333,1427.1113871145042
2024-01-02 04:00:00,Z1,5954.0,37.7,Medium,Highway,1,1,24.8,68.6,0.17,7.6,1009.4,8.8,85.6,61.0,73.1,26.1,1.41,12.6,34.1,632.2,703.4,4,2,1,1,0,0,6609.0,3670.0,5376.125,1390.7038665960547
2024-01-02 05:00:00,Z1,4359.0,45.3,Low,Commercial,0,0,25.7,68.3,0.06,10.9,1014.1,10.0,79.6,45.5,70.7,20.8,1.21,13.2,29.3,672.9,832.0,5,2,1,1,0,0,5954.0,3786.0,5400.0,1366.9337632246409
2024-01-02 06:00:00,Z1,5462.0,39.4,Medium,Residential,0,1,25.4,57.9,0.54,12.7,1010.1,9.1,86.5,52.3,73.8,23.0,1.48,14.8,33.7,658.1,733.7,6,2,1,1,0,0,4359.0,4179.0,5453.458333333333,1341.9664020665205
2024-01-02 07:00:00,Z1,8539.5,27.499999999999993,High,Residential,0,1,28.9,64.8,0.0,10.6,1004.5,9.1,134.5,79.6,124.30000000000001,46.2,1.96,22.3,46.7,701.4,815.3,7,2,1,1,0,1,5462.0,6784.0,5526.604166666667,1460.271006556858
2024-01-02 08:00:00,Z1,8539.5,27.499999999999993,High,Commercial,0,1,25.7,59.5,0.0,11.4,1014.2,10.0,130.4,78.4,116.3,40.1,1.75,18.8,23.2,654.4,752.5,8,2,1,1,0,1,8539.5,7313.0,5577.708333333333,1544.5367176281206
2024-01-02 09:00:00,Z1,8539.5,27.499999999999993,High,Highway,0,1,23.5,48.4,0.0,8.7,1013.6,9.8,137.29999999999998,82.8,124.30000000000001,44.3,1.82,23.4,28.9,633.7,696.1,9,2,1,1,0,1,8539.5,6672.0,5655.520833333333,1645.786124299997
2024-01-02 10:00:00,Z1,4482.0,40.5,Medium,Residential,0,0,25.5,55.1,0.0,12.0,1015.1,9.6,73.4,40.4,61.3,30.9,1.22,11.7,23.3,635.1,784.6,10,2,1,1,0,0,8539.5,3643.0,5690.479166666667,1609.694222104787
2024-01-02 11:00:00,Z1,4628.0,44.5,Medium,Residential,2,0,21.5,53.5,0.0,15.9,1010.3,9.8,90.1,52.9,75.7,24.0,1.55,10.6,37.7,638.7,712.7,11,2,1,1,0,0,4482.0,4692.0,5687.8125,1611.4722799252213
2024-01-02 12:00:00,Z1,3645.0,45.2,Low,Commercial,1,0,22.6,48.5,0.52,12.8,1009.9,7.7,64.8,35.2,59.0,16.6,1.19,7.8,38.7,643.2,799.7,12,2,1,1,0,0,4628.0,3495.0,5694.0625,1602.8657170185772
2024-01-02 13:00:00,Z1,4184.0,42.6,Low,Commercial,1,0,18.3,44.1,0.15,13.2,1014.6,9.4,85.3,50.5,83.7,22.7,1.28,13.7,34.2,641.0,794.6,13,2,1,1,0,0,3645.0,3996.0,5701.895833333333,1594.6446447485914
2024-01-02 14:00:00,Z1,3893.0,43.5,Low,Residential,0,0,18.3,48.0,0.13,11.2,1019.1,9.4,68.9,41.7,61.6,22.0,1.38,9.8,27.3,658.1,807.9,14,2,1,1,0,0,4184.0,4567.0,5673.8125,1621.213889091992
2024-01-02 15:00:00,Z1,3673.0,43.5,Low,Commercial,0,0,19.7,48.7,0.08,4.0,1013.0,10.0,73.0,39.1,72.6,25.8,1.29,11.1,27.8,649.7,762.9,15,2,1,1,0,0,3893.0,3903.0,5664.229166666667,1632.77521136605
2024-01-02 16:00:00,Z1,3991.0,47.1,Low,Commercial,0,0,19.9,48.2,0.46,5.8,1014.7,9.0,80.3,43.8,74.7,26.6,1.33,12.6,24.9,626.2,677.0,16,2,1,1,0,0,3673.0,4036.0,5662.354166666667,1634.750928237445
2024-01-02 17:00:00,Z1,7785.0,29.1,High,Commercial,2,0,18.7,44.8,0.0,11.8,1011.7,10.0,113.5,67.6,94.1,32.7,1.64,16.6,36.1,629.7,693.6,17,2,1,1,0,1,3991.0,6935.0,5697.770833333333,1672.297787731434
2024-01-02 18:00:00,Z1,6317.0,37.4,Medium,Commercial,0,0,18.1,53.3,0.52,10.0,1006.8,7.7,88.7,51.2,74.7,22.4,1.36,14.7,25.4,827.5624999999999,929.0,18,2,1,1,0,1,7785.0,7110.0,5664.729166666667,1650.8784089951118
2024-01-02 19:00:00,Z1,7425.0,36.3,High,Commercial,0,0,18.0,61.4,0.0,11.8,1016.9,9.6,96.2,57.5,80.0,29.2,1.48,12.1,26.6,827.5624999999999,965.5,19,2,1,1,0,1,6317.0,6361.0,5709.0625,1684.3367764074662
2024-01-02 20:00:00,Z1,6429.0,36.6,Medium,Commercial,0,0,16.6,56.3,0.75,16.7,1016.6,8.8,98.3,63.7,94.7,31.5,1.37,14.7,29.7,817.1,889.0,20,2,1,1,0,1,7425.0,7761.0,5653.5625,1635.0071819580328
2024-01-02 21:00:00,Z1,4383.0,43.5,Low,Commercial,0,0,18.4,73.7,0.18,12.9,1015.8,9.5,75.8,47.1,78.0,26.6,1.23,12.9,26.4,808.5,973.1000000000001,21,2,1,1,0,0,6429.0,3919.0,5672.895833333333,1616.2404912741351
2024-01-02 22:00:00,Z1,3784.0,47.1,Low,Residential,0,0,19.6,64.3,0.0,15.0,1012.3,10.0,77.6,50.9,72.0,26.2,1.14,12.5,19.5,617.8,721.7,22,2,1,1,0,0,4383.0,3967.0,5665.270833333333,1625.0460594085557
2024-01-02 23:00:00,Z1,3225.0,47.1,Low,Commercial,1,0,22.8,70.3,0.03,10.4,1015.4,9.0,73.6,43.3,61.1,19.6,1.31,9.3,23.0,640.8,795.2,23,2,1,1,0,0,3784.0,6036.0,5548.145833333333,1696.877711250403
2024-01-03 00:00:00,Z1,4664.0,39.7,Medium,Residential,0,0,22.9,69.3,0.0,6.8,1016.6,10.0,90.4,50.6,82.6,26.1,1.65,14.4,38.6,611.8,653.0,0,3,1,2,0,0,3225.0,5164.0,5527.3125,1704.8497371788212
2024-01-03 01:00:00,Z1,3635.0,41.2,Low,Highway,0,0,20.8,75.4,0.0,9.8,1019.5,9.7,78.5,47.3,65.2,25.9,1.22,10.8,40.0,626.0,770.2,1,3,1,2,0,0,4664.0,5891.0,5433.3125,1745.6318702288568
2024-01-03 02:00:00,Z1,4137.0,47.7,Low,Highway,0,0,24.9,66.3,0.06,6.8,1017.0,9.5,78.6,54.5,81.2,24.1,1.17,12.4,21.0,609.2,694.4,2,3,1,2,0,0,3635.0,6254.0,5345.104166666667,1755.8159937461924
2024-01-03 03:00:00,Z1,4203.0,45.2,Low,Highway,1,0,24.7,71.9,0.0,16.2,1013.3,10.0,90.2,59.7,80.1,29.6,1.5,12.7,33.8,634.1,706.8,3,3,1,2,0,0,4137.0,6609.0,5244.854166666667,1749.1890448903725
2024-01-03 04:00:00,Z1,3624.0,47.0,Low,Residential,0,0,24.9,67.9,0.0,13.2,1007.8,10.0,77.4,46.4,68.5,19.1,1.24,8.2,31.9,636.5,755.1,4,3,1,2,0,0,4203.0,5954.0,5147.770833333333,1772.6216091180659
2024-01-03 05:00:00,Z1,3362.0,48.7,Low,Residential,0,0,27.2,71.8,0.89,12.1,1013.6,8.7,64.6,44.9,59.7,20.0,1.06,7.8,22.8,645.9,796.1,5,3,1,2,0,0,3624.0,4359.0,5106.229166666667,1803.3267625670567
2024-01-03 06:00:00,Z1,3815.0,45.7,Low,Highway,0,0,28.0,73.1,0.11,14.9,1014.0,10.0,73.9,48.6,61.5,21.2,1.28,15.2,38.8,695.6,833.1,6,3,1,2,0,0,3362.0,5462.0,5037.604166666667,1820.4560464176025
